year,spec_CO2_gas [g/kWh],spec_CO2_el [g/kWh],cost_gas [ct/kWh],cost_el_hh [ct/kWh],cost_el_hp [ct/kWh]
2020,200.8,402.9,6.31,32.03804348,23.58
2021,199.11,381.91,6.811,31.37907609,23.095
2022,197.42,360.92,7.312,30.7201087,22.61
2023,195.73,339.93,7.813,30.0611413,22.125
2024,194.04,318.94,8.314,29.40217391,21.64
2025,192.35,297.95,8.815,28.74320652,21.155
2026,190.66,276.96,9.316,28.08423913,20.67
2027,188.97,255.97,9.817,27.42527174,20.185
2028,187.28,234.98,10.318,26.76630435,19.7
2029,185.59,213.99,10.819,26.10733696,19.215
2030,183.9,193,11.32,25.44836957,18.73
2031,182.21,172.01,11.821,25.49048913,18.761
2032,180.52,151.02,12.322,25.5326087,18.792
2033,178.83,130.03,12.823,25.57472826,18.823
2034,177.14,109.04,13.324,25.61684783,18.854
2035,175.45,88.05,13.825,25.65896739,18.885
2036,173.76,67.06,14.326,25.70108696,18.916
2037,172.89,58.47,14.53,25.74320652,18.947
2038,172.02,49.88,14.734,25.78532609,18.978
2039,171.15,41.29,14.938,25.82744565,19.009
2040,175.2,107.1,13.36,25.86956522,19.04
2041,174.32,98.5,13.564,25.91168478,19.071
2042,173.44,89.9,13.768,25.95380435,19.102
2043,172.56,81.3,13.972,25.99592391,19.133
2044,171.68,72.7,14.176,26.03804348,19.164
2045,170.8,64.1,14.38,26.08016304,19.195
2046,169.92,55.5,14.584,26.12228261,19.226
2047,169.04,46.9,14.788,26.16440217,19.257
2048,168.16,38.3,14.992,26.20652174,19.288
2049,167.28,29.7,15.196,26.2486413,19.319
2050,166.4,21.1,15.4,26.29076087,19.35